Model,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate,Scenario,Setting,Mean_Latency,P95_Latency,Throughput
XGBoost,0.999972442680776,1.0,0.999986221150534,1.0,1.5695383987569255e-05,0.36288,S0_Baseline,,,,
RandomForest,1.0,1.0,1.0,1.0,0.0,0.36287,S0_Baseline,,,,
IsolationForest,0.0,0.0,0.0,0.2571980522843843,0.1292200963696576,0.08233,S0_Baseline,,,,
LOF,0.0403,0.0111059056962548,0.0174130965497871,0.2577319465621967,0.1506286001287021,0.1,S0_Baseline,,,,
DBSCAN,0.0,0.0,0.0,,0.0012085445670428,0.00077,S0_Baseline,,,,
XGBoost,0.999972442680776,1.0,0.999986221150534,1.0,1.5695383987569255e-05,0.36288,S1_Imbalance,Ratio_1.0,,,
RandomForest,1.0,1.0,1.0,1.0,0.0,0.36287,S1_Imbalance,Ratio_1.0,,,
XGBoost,0.9999724411618808,0.9999448838426984,0.9999586623124302,0.9999999977216254,1.5695383987569255e-05,0.36286,S1_Imbalance,Ratio_0.1,,,
RandomForest,1.0,0.9999448838426984,0.9999724411618808,1.0,0.0,0.36285,S1_Imbalance,Ratio_0.1,,,
XGBoost,0.9999724411618808,0.9999448838426984,0.9999586623124302,0.9999999984811044,1.5695383987569255e-05,0.36286,S1_Imbalance,Ratio_0.02,,,
RandomForest,1.0,0.9995866288202386,0.9997932716823552,1.0,0.0,0.36272,S1_Imbalance,Ratio_0.02,,,
XGBoost,0.99997244040237,0.9999173257640476,0.9999448823237612,0.9999861803686008,1.5695383987569255e-05,0.36285,S1_Imbalance,Ratio_0.01,,,
RandomForest,1.0,0.9995866288202386,0.9997932716823552,0.9999999984811044,0.0,0.36272,S1_Imbalance,Ratio_0.01,,,
XGBoost,0.9987138263665596,0.2567861768677488,0.4085319069645088,0.9636295001002804,0.0001883446078508,0.0933,S2_NoiseRobustness,Noise_Std0.01,,,
RandomForest,1.0,0.0894535233003555,0.1642172362330205,0.8813757203505402,0.0,0.03246,S2_NoiseRobustness,Noise_Std0.01,,,
IsolationForest,0.3627541219785497,0.999200815719128,0.5322704952326426,0.2903892743841592,0.9997017877042362,0.99952,S2_NoiseRobustness,Noise_Std0.01,,,
LOF,0.9908,0.2730454432716951,0.4281115648022123,0.9048854137778268,0.0014439753268563,0.1,S2_NoiseRobustness,Noise_Std0.01,,,
