,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate
XGBoost_Noise_Std0.01,0.9982882208195143,0.25714443189020864,0.40894946750230093,0.963037383523139,0.0002511261438011081,0.09347
RandomForest_Noise_Std0.01,1.0,0.09074875299694106,0.16639717028802425,0.8814056044711642,0.0,0.03293
IsolationForest_Noise_Std0.01,0.3628640898129897,0.9993937222696834,0.5324162433567254,0.29003063737884793,0.99941927079246,0.99941
LOF_Noise_Std0.01,0.9917,0.2732934659795519,0.4285004428889321,0.9054391522272123,0.0013027168709682482,0.1
DBSCAN_Noise_Std0.01,0.0,0.0,0.0,,0.0012399353350179712,0.00079
XGBoost_Noise_Std0.05,0.9971600218459858,0.2515777000027558,0.40178689318251837,0.9075721500146081,0.00040807998367680065,0.09155
RandomForest_Noise_Std0.05,0.9988031119090365,0.04599443326811255,0.08793930133305232,0.7966549655490354,3.139076797513851e-05,0.01671
IsolationForest_Noise_Std0.05,0.36287,1.0,0.5325086031683139,0.3068417051278759,1.0,1.0
LOF_Noise_Std0.05,0.9967,0.27467136991208974,0.4306608767040422,0.929823250651315,0.0005179476715897855,0.1
DBSCAN_Noise_Std0.05,0.0,0.0,0.0,,0.0018049691585704645,0.00115
XGBoost_Missing_Rate0.01,0.999971855562748,0.9791385344613773,0.9894455429001086,0.9999936618076857,1.5695383987569255e-05,0.35531
RandomForest_Missing_Rate0.01,1.0,0.994350593876595,0.9971672953889096,0.9999999992405627,0.0,0.36082
IsolationForest_Missing_Rate0.01,0.0,0.0,0.0,0.25844550485614015,0.12862367177813006,0.08195
LOF_Missing_Rate0.01,0.6526,0.17984402127483673,0.28197982154816686,0.42886982302391075,0.0545257639728156,0.1
DBSCAN_Missing_Rate0.01,0.007518796992481203,2.755807865075647e-05,5.4914881933003843e-05,,0.002071790686359142,0.00133
XGBoost_Missing_Rate0.05,0.999969474969475,0.9027750985201312,0.9488898865989833,0.9999138788449637,1.5695383987569255e-05,0.3276
RandomForest_Missing_Rate0.05,1.0,0.9648910077989362,0.9821318373071529,0.999999920602017,0.0,0.35013
IsolationForest_Missing_Rate0.05,0.0,0.0,0.0,0.26214819291151964,0.12531194575675295,0.07984
LOF_Missing_Rate0.05,0.9372,0.25827431311488963,0.40495171430423227,0.6908101103255552,0.009856701144193493,0.1
DBSCAN_Missing_Rate0.05,0.0,0.0,0.0,,0.0029507321896630203,0.00188
