Model,Scenario_Setting,Risks
XGBoost,S1_Imbalance_Ratio_1.0,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
XGBoost,S1_Imbalance_Ratio_0.1,Precision: Low Risk (Delta: -0.0000); Recall: Low Risk (Delta: -0.0001); F1-Score: Low Risk (Delta: -0.0000); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0000)
XGBoost,S1_Imbalance_Ratio_0.02,Precision: Low Risk (Delta: -0.0000); Recall: Low Risk (Delta: -0.0001); F1-Score: Low Risk (Delta: -0.0000); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0000)
XGBoost,S1_Imbalance_Ratio_0.01,Precision: Low Risk (Delta: -0.0000); Recall: Low Risk (Delta: -0.0001); F1-Score: Low Risk (Delta: -0.0000); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0000)
XGBoost,S2_NoiseRobustness_Noise_Std0.01,Precision: Low Risk (Delta: -0.0013); Recall: High Risk (Delta: -0.7432); F1-Score: High Risk (Delta: -0.5915); PR-AUC: Medium Risk (Delta: -0.0364); False Alarm Rate: Low Risk (Delta: -0.0002); Alert Rate: High Risk (Delta: 0.2696)
XGBoost,S2_NoiseRobustness_Noise_Std0.05,Precision: Low Risk (Delta: -0.0022); Recall: High Risk (Delta: -0.7494); F1-Score: High Risk (Delta: -0.5994); PR-AUC: Medium Risk (Delta: -0.0910); False Alarm Rate: Low Risk (Delta: -0.0003); Alert Rate: High Risk (Delta: 0.2717)
XGBoost,S2_NoiseRobustness_Missing_Rate0.01,Precision: Low Risk (Delta: 0.0000); Recall: Medium Risk (Delta: -0.0205); F1-Score: Medium Risk (Delta: -0.0103); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: 0.0000); Alert Rate: Low Risk (Delta: 0.0074)
XGBoost,S2_NoiseRobustness_Missing_Rate0.05,Precision: Low Risk (Delta: -0.0000); Recall: Medium Risk (Delta: -0.0981); F1-Score: Medium Risk (Delta: -0.0516); PR-AUC: Low Risk (Delta: -0.0001); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Medium Risk (Delta: 0.0356)
XGBoost,S3_ShiftDrift_Window_1,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: 0.0000); Alert Rate: Low Risk (Delta: 0.0007)
XGBoost,S3_ShiftDrift_Window_2,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: 0.0000); Alert Rate: Low Risk (Delta: -0.0008)
