,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate
DBSCAN_eps0.1_min_samples5,0.004054054054054054,8.26742359522694e-05,0.0001620439139006671,,0.011567497998838541,0.0074
DBSCAN_eps0.1_min_samples10,0.0024650780608052587,8.26742359522694e-05,0.0001599829351535836,,0.019054196160909077,0.01217
DBSCAN_eps0.1_min_samples20,0.001557632398753894,8.26742359522694e-05,0.00015701462852955801,,0.03018222340809568,0.01926
DBSCAN_eps0.5_min_samples5,0.0,0.0,0.0,,0.0012085445670428328,0.00077
DBSCAN_eps0.5_min_samples10,0.0,0.0,0.0,,0.0019148368464834491,0.00122
DBSCAN_eps0.5_min_samples20,0.0,0.0,0.0,,0.0027466921978246198,0.00175
DBSCAN_eps1.0_min_samples5,0.0,0.0,0.0,,0.0001412584558881233,9e-05
DBSCAN_eps1.0_min_samples10,0.0,0.0,0.0,,0.00023543075981353884,0.00015
DBSCAN_eps1.0_min_samples20,0.0,0.0,0.0,,0.000674901511465478,0.00043
LOF_n_neighbors10,0.0468,0.012897180808554027,0.020221660509430292,0.2568992615411626,0.14960840016951016,0.1
LOF_n_neighbors20,0.0403,0.011105905696254857,0.017413096549787198,0.2577319465621967,0.15062860012870216,0.1
LOF_n_neighbors50,0.0399,0.010995673381651831,0.01724026184457839,0.2601962278053903,0.15069138166465243,0.1
IsolationForest_n_estimators50_contaminationauto,0.0,0.0,0.0,0.2717299405122956,0.13612606532418817,0.08673
IsolationForest_n_estimators50_contamination0.01,0.0,0.0,0.0,0.2717299405122956,0.015240217851929748,0.00971
IsolationForest_n_estimators50_contamination0.05,0.0,0.0,0.0,0.2717299405122956,0.07573022774002167,0.04825
IsolationForest_n_estimators100_contaminationauto,0.0,0.0,0.0,0.2571980522843843,0.12922009636965767,0.08233
IsolationForest_n_estimators100_contamination0.01,0.0,0.0,0.0,0.2571980522843843,0.015711079371556826,0.01001
IsolationForest_n_estimators100_contamination0.05,0.0,0.0,0.0,0.2571980522843843,0.0756046646681211,0.04817
IsolationForest_n_estimators200_contaminationauto,0.0,0.0,0.0,0.26066165578396067,0.13292420699072402,0.08469
IsolationForest_n_estimators200_contamination0.01,0.0,0.0,0.0,0.26066165578396067,0.015475648611743286,0.00986
IsolationForest_n_estimators200_contamination0.05,0.0,0.0,0.0,0.26066165578396067,0.07587148619590978,0.04834
