,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate
XGBoost_Window_1,1.0,1.0,1.0,1.0,0.0,0.36218666666666666
RandomForest_Window_1,1.0,0.9999263731409218,0.9999631852151825,0.9999999972897423,0.0,0.36216
IsolationForest_Window_1,0.0,0.0,0.0,0.2640638886247783,0.14486997240571955,0.0924
LOF_Window_1,0.037066666666666664,0.01023413341186865,0.01603969536118163,0.2567177140051665,0.1509741617192073,0.1
DBSCAN_Window_1,0.0,0.0,0.0,,0.0028848565933606487,0.00184
XGBoost_Window_2,1.0,1.0,1.0,1.0,0.0,0.36365333333333333
RandomForest_Window_2,1.0,1.0,1.0,1.0,0.0,0.36365333333333333
IsolationForest_Window_2,0.0,0.0,0.0,0.2654076431728264,0.14507815446507144,0.09232
LOF_Window_2,0.03546666666666667,0.009752878199017379,0.015298786449646287,0.2577161978277154,0.1515735657712777,0.1
DBSCAN_Window_2,0.0,0.0,0.0,,0.002053388090349076,0.0013066666666666667
XGBoost_Window_3,1.0,1.0,1.0,0.9999999999999999,0.0,0.36234666666666665
RandomForest_Window_3,1.0,1.0,1.0,1.0,0.0,0.36234666666666665
IsolationForest_Window_3,0.0,0.0,0.0,0.2642148389273845,0.14553362328537972,0.0928
LOF_Window_3,0.0352,0.00971445392993818,0.015226669742761564,0.25636964986086164,0.15130478420876547,0.1
DBSCAN_Window_3,0.0,0.0,0.0,,0.0022164603546336566,0.0014133333333333333
XGBoost_Window_4,0.9999266108909438,1.0,0.9999633040989322,0.9999999999999999,4.18848167539267e-05,0.36336
RandomForest_Window_4,1.0,1.0,1.0,1.0,0.0,0.36333333333333334
IsolationForest_Window_4,0.0,0.0,0.0,0.2648739582406129,0.14245026178010473,0.09069333333333333
LOF_Window_4,0.0336,0.009247706422018349,0.014503597122302158,0.2562971981124312,0.15179057591623038,0.1
DBSCAN_Window_4,0.0,0.0,0.0,,0.0028900523560209425,0.00184
