Model,Scenario_Setting,Precision_Delta,Recall_Delta,F1-Score_Delta,PR-AUC_Delta,False Alarm Rate_Delta,Alert Rate_Delta
XGBoost,S1_Imbalance_Ratio_1.0,0.0,0.0,0.0,0.0,-0.0,-0.0
XGBoost,S1_Imbalance_Ratio_0.1,-1.518895231811257e-09,-5.511615730158237e-05,-2.7558838103791672e-05,-2.2783746000953897e-09,-0.0,1.999999999996449e-05
XGBoost,S1_Imbalance_Ratio_0.02,-1.518895231811257e-09,-5.511615730158237e-05,-2.7558838103791672e-05,-1.5188955648781644e-09,-0.0,1.999999999996449e-05
XGBoost,S1_Imbalance_Ratio_0.01,-2.2784060194069866e-09,-8.267423595242906e-05,-4.133882677281875e-05,-1.3819631399236698e-05,-0.0,2.999999999997449e-05
XGBoost,S2_NoiseRobustness_Noise_Std0.01,-0.0012586163142164208,-0.7432138231322512,-0.5914543141860252,-0.03637049989971963,-0.00017264922386323075,0.26958
XGBoost,S2_NoiseRobustness_Noise_Std0.05,-0.002167109640064835,-0.7494143908286715,-0.5994135339258644,-0.09104978997947977,-0.00029821229576373074,0.27175
XGBoost,S2_NoiseRobustness_Missing_Rate0.01,2.755731922399196e-05,-0.020475652437512037,-0.010329944612548991,-6.875187887223078e-06,1.5695383987569255e-05,0.007440000000000002
XGBoost,S2_NoiseRobustness_Missing_Rate0.05,-3.355243389258078e-05,-0.09813431807534378,-0.05161267916690726,-0.00010644724049879706,-1.5695383987569255e-05,0.035599999999999965
XGBoost,S3_ShiftDrift_Window_1,2.755731922399196e-05,0.0,1.3778849465961862e-05,0.0,1.5695383987569255e-05,0.0006933333333333791
XGBoost,S3_ShiftDrift_Window_2,2.755731922399196e-05,0.0,1.3778849465961862e-05,0.0,1.5695383987569255e-05,-0.0007733333333332926
XGBoost,S3_ShiftDrift_Window_3,2.755731922399196e-05,0.0,1.3778849465961862e-05,0.0,1.5695383987569255e-05,0.0005333333333333856
XGBoost,S3_ShiftDrift_Window_4,-4.5831789832195824e-05,0.0,-2.2917051601845095e-05,0.0,-2.6189432766357445e-05,-0.00048000000000003595
XGBoost,S5_RealtimeInference_Batch5000,0.0,0.0,0.0,0.0,-0.0,-0.0
XGBoost,S5_RealtimeInference_Batch20000,0.0,0.0,0.0,0.0,-0.0,-0.0
RandomForest,S1_Imbalance_Ratio_1.0,0.0,0.0,0.0,0.0,-0.0,-0.0
RandomForest,S1_Imbalance_Ratio_0.1,0.0,-5.511615730158237e-05,-2.7558838119223772e-05,0.0,-0.0,2.0000000000020002e-05
