model,test_index,y_true,y_pred,calibrated_probability,diagnostic_category
XGBoost,0,0,0,0.0,Correct_or_Clear
XGBoost,1,0,0,0.0,Correct_or_Clear
XGBoost,2,0,0,0.0,Correct_or_Clear
XGBoost,3,0,0,0.0,Correct_or_Clear
XGBoost,4,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,5,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,6,0,0,0.0,Correct_or_Clear
XGBoost,7,0,0,0.0,Correct_or_Clear
XGBoost,8,1,1,1.0,Correct_or_Clear
XGBoost,9,0,0,0.0,Correct_or_Clear
XGBoost,10,0,0,0.0,Correct_or_Clear
XGBoost,11,0,0,0.0,Correct_or_Clear
XGBoost,12,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,13,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,14,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,15,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,16,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,17,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,18,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,19,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,20,0,0,0.0,Correct_or_Clear
XGBoost,21,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,22,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,23,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,24,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,25,0,0,0.0,Correct_or_Clear
XGBoost,26,0,0,0.0,Correct_or_Clear
XGBoost,27,0,0,0.0,Correct_or_Clear
XGBoost,28,0,0,0.0,Correct_or_Clear
XGBoost,29,0,0,0.0,Correct_or_Clear
XGBoost,30,0,0,0.0,Correct_or_Clear
XGBoost,31,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,32,0,0,0.0,Correct_or_Clear
XGBoost,33,0,0,0.0,Correct_or_Clear
XGBoost,34,0,0,0.0,Correct_or_Clear
XGBoost,35,0,0,0.0,Correct_or_Clear
XGBoost,36,0,0,0.0,Correct_or_Clear
XGBoost,37,0,0,0.0,Correct_or_Clear
XGBoost,38,0,0,0.0,Correct_or_Clear
XGBoost,39,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,40,0,0,0.0,Correct_or_Clear
XGBoost,41,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,42,0,0,0.0,Correct_or_Clear
XGBoost,43,0,0,0.0,Correct_or_Clear
XGBoost,44,1,1,1.0,Correct_or_Clear
XGBoost,45,0,0,0.0,Correct_or_Clear
XGBoost,46,0,0,0.0,Correct_or_Clear
XGBoost,47,0,0,0.0,Correct_or_Clear
XGBoost,48,0,0,0.0,Correct_or_Clear
XGBoost,49,0,0,0.0,Correct_or_Clear
XGBoost,50,0,0,0.0,Correct_or_Clear
XGBoost,51,0,0,0.0,Correct_or_Clear
XGBoost,52,0,0,0.00025246149962130775,Correct_or_Clear
XGBoost,53,0,0,0.0,Correct_or_Clear
XGBoost,54,0,0,0.0,Correct_or_Clear
XGBoost,55,0,0,0.0,Correct_or_Clear
XGBoost,56,0,0,0.0,Correct_or_Clear
XGBoost,57,0,0,0.0,Correct_or_Clear
XGBoost,58,0,0,0.0,Correct_or_Clear
XGBoost,59,0,0,0.00025246149962130775,Correct_or_Clear
