test_index,threat_key,threat_event,calibrated_probability,likelihood,impact_confidentiality,impact_integrity,impact_availability,impact_overall,risk_score,risk_level,impact_method,timestamp,event_type,event_category,log_level,status,anomaly_reason,user_email_hash,user_domain_type,role,ip_address,url_module,hour,is_off_hours,sess_events_per_hour,ip_events_per_hour,anomaly_reason_reference,top3_features,top3_shap_values,operational_triage
8,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 12:51:05,Login Auth Error: Trailing data,error,ERROR,,auth_error_event,,unknown,,,,12,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.596943|-2.288436|1.447763,P2_analyst_review
44,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 13:16:52,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,13,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.661398|-2.512377|1.950159,P2_analyst_review
66,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 13:32:50,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30001 milliseconds wi,error,ERROR,,error_level,,unknown,,,,13,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660543|-2.506799|1.938160,P2_analyst_review
106,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-02-28 14:15:43,Login Auth Error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'a22100096@m,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.700051|-2.219857|1.328034,P1_immediate_investigation
108,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-02-28 14:16:37,Login Auth Error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'a22100096@m,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.693984|-2.235381|1.350580,P1_immediate_investigation
110,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-02-28 14:17:30,Login Auth Error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'a22100096@m,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.700051|-2.235523|1.358740,P1_immediate_investigation
113,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-02-28 14:21:55,Login Auth Error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'a22100096@m,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.691853|-2.235506|1.361580,P1_immediate_investigation
115,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 14:22:54,Login Auth Error: Unexpected data found.,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.691853|-2.235747|1.359168,P2_analyst_review
119,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 14:24:28,Login Auth Error: A two digit month could not be found,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.691853|-2.235747|1.361061,P2_analyst_review
120,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 14:25:46,Login Auth Error: Unexpected data found.,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.691853|-2.235747|1.361061,P2_analyst_review
121,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-02-28 14:26:08,Login Auth Error: Unexpected data found.,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.691853|-2.235747|1.361061,P2_analyst_review
