model,rank,feature,mean_abs_shap,FSS_clean_vs_noise
XGBoost,1,isolation_forest_score,3.618437394917011,1.0
XGBoost,2,ip_events_per_hour,3.018090252161026,1.0
XGBoost,3,is_error,2.3291572425961493,1.0
XGBoost,4,hour,0.6673266809061169,1.0
XGBoost,5,tos_knn_score,0.5341953984983265,1.0
XGBoost,6,dbscan_core_neighbor_density,0.5328681553117931,1.0
XGBoost,7,has_context,0.30212132672965525,1.0
XGBoost,8,minute_deviation,0.15610329607804305,1.0
XGBoost,9,day_of_week_deviation,0.12687409162847324,1.0
XGBoost,10,is_off_hours,0.11778049822710454,1.0
RandomForest,1,ip_events_per_hour,0.16216350789707767,1.0
RandomForest,2,is_error,0.13461068504560025,1.0
RandomForest,3,isolation_forest_score,0.1302772468364787,1.0
RandomForest,4,dbscan_core_neighbor_density,0.0452324587674127,1.0
RandomForest,5,tos_knn_score,0.0323616795410042,1.0
RandomForest,6,hour,0.024392140431918414,1.0
RandomForest,7,has_context,0.023249229495664974,1.0
RandomForest,8,is_off_hours,0.01897633561701818,1.0
RandomForest,9,isolation_forest_flag,0.010717209343094586,1.0
RandomForest,10,hour_deviation,0.010590191543598873,1.0
